frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
16, 0, 0.000, 0.98, 1, 4.59, 2.92, -1.00, -0.72, -0.41, -0.90, -0.05, -0.08, 0.62, 0.26, 1.42, 0.12, -1.19, 2.12, 0.38, -0.13, 0.87, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
17, 0, 0.000, 0.98, 1, -2.02, -0.11, 0.86, 0.80, -0.67, 0.51, 0.17, 0.12, -0.47, -1.18, 0.11, 0.98, -1.49, 1.76, -0.26, 0.61, 1.16, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0
18, 0, 0.000, 0.98, 1, 3.35, 3.14, -0.37, 0.80, -1.79, -1.17, 0.38, -0.62, -1.20, -1.02, -0.74, 1.87, -1.82, 2.93, 0.00, 0.94, 1.81, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
19, 0, 0.000, 0.98, 1, -1.21, -0.16, -0.36, 1.43, -1.44, -0.59, -0.12, -1.34, -1.88, -1.70, 0.40, -0.29, -0.17, 1.15, 1.21, 0.32, 1.83, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
20, 0, 0.000, 0.92, 1, -0.55, -0.60, -0.10, 1.32, -0.15, -0.87, 0.53, 1.16, 0.33, -1.19, 3.73, 1.86, 3.39, 0.27, 2.02, -0.96, -2.25, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
21, 0, 0.000, 0.98, 1, 0.62, -0.52, -0.60, 0.49, -0.56, 0.69, 0.79, -0.43, 0.64, 0.10, 1.54, 1.83, 0.67, 0.82, -1.09, 1.37, 0.30, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
22, 0, 0.000, 0.88, 1, -3.86, -0.45, 0.92, 0.93, 0.59, 0.06, 0.15, 0.08, 0.90, 1.82, 3.46, 2.00, 0.64, 2.73, 2.14, -0.95, -0.49, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0
23, 0, 0.000, 0.98, 1, 2.32, 3.13, -1.51, -1.01, -0.66, 0.58, 0.85, 0.32, -0.07, 0.49, -0.22, 2.53, 0.70, 1.80, -1.64, -2.03, 0.06, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
24, 0, 0.000, 0.95, 1, -1.21, 0.63, -0.97, -2.22, 1.55, 0.47, 2.77, 1.56, 0.74, 2.29, 0.79, 0.59, 3.44, 1.82, 0.11, -0.06, 0.12, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0
25, 0, 0.000, 0.88, 1, 0.18, 1.84, -0.43, 1.93, -1.35, -0.77, -0.60, -0.03, -1.25, -0.70, 0.70, 2.43, 0.96, 2.12, 0.01, 0.91, -1.78, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
