frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
16,  0,  0.000,  0.98,  1, 0.00, 0.00, 0.02, 0.54, 1.71, 1.15, 0.10, 1.75, 2.05, 1.27, 0.42, 1.18, 0.23, 0.79, 1.16, 1.52, 0.56, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
17,  0,  0.000,  0.92,  1, 0.90, 0.72, 0.21, 0.49, 1.44, 1.37, 0.00, 0.98, 1.41, 0.84, 0.87, 1.99, 0.23, 0.51, 1.02, 1.51, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
18,  0,  0.000,  0.88,  1, 1.06, 0.72, 0.49, 0.49, 0.94, 1.44, 0.10, 0.85, 1.13, 0.37, 1.07, 3.03, 0.23, 0.38, 0.13, 0.91, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
19,  0,  0.000,  0.98,  1, 1.43, 0.72, 0.49, 0.00, 1.67, 1.77, 0.10, 1.88, 1.91, 1.31, 1.07, 2.73, 0.00, 0.38, 0.17, 0.14, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
20,  0,  0.000,  0.88,  1, 0.53, 0.00, 0.30, 0.00, 2.37, 2.46, 0.10, 2.42, 2.33, 1.85, 0.74, 1.97, 0.50, 0.09, 0.17, 0.50, 0.14, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
21,  0,  0.000,  0.98,  1, 0.38, 0.00, 0.25, 0.00, 2.60, 2.78, 0.00, 2.85, 1.77, 1.91, 0.26, 1.67, 1.31, 0.09, 0.09, 0.50, 0.14, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
22,  0,  0.000,  0.98,  1, 0.74, 0.38, 0.43, 0.00, 2.23, 2.61, 0.00, 3.00, 1.74, 1.48, 0.99, 2.86, 1.31, 0.61, 0.05, 0.36, 0.57, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
23,  0,  0.000,  0.98,  1, 0.74, 0.38, 0.43, 0.00, 2.09, 2.71, 0.38, 3.34, 2.05, 1.25, 0.87, 2.16, 0.81, 0.51, 0.05, 0.00, 0.43, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
24,  0,  0.000,  0.98,  1, 0.74, 0.38, 0.88, 0.00, 1.91, 2.17, 0.38, 2.65, 2.20, 1.34, 1.56, 2.46, 0.00, 1.11, 0.00, 0.00, 0.43, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
25,  0,  0.000,  0.98,  1, 0.15, 0.08, 0.70, 0.00, 1.81, 1.69, 0.38, 1.68, 1.84, 1.30, 0.83, 1.22, 0.00, 0.60, 0.00, 0.02, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
26,  0,  0.000,  0.98,  1, 1.39, 1.11, 0.72, 0.00, 1.54, 0.65, 0.00, 1.39, 1.80, 1.87, 0.98, 1.84, 0.23, 0.60, 0.50, 0.26, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
27,  0,  0.000,  0.88,  1, 1.69, 1.11, 0.02, 0.25, 0.98, 0.51, 0.00, 1.70, 1.69, 1.80, 0.15, 1.06, 0.28, 0.81, 0.50, 1.11, 0.27, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
28,  0,  0.000,  0.88,  1, 2.26, 1.56, 0.08, 0.53, 1.37, 0.51, 0.00, 1.90, 2.17, 1.74, 0.15, 1.36, 0.28, 0.81, 1.10, 1.47, 0.27, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
29,  0,  0.000,  0.98,  1, 2.33, 0.60, 0.07, 0.53, 1.76, 1.51, 0.00, 2.18, 1.99, 0.84, 1.67, 1.66, 0.58, 0.81, 1.44, 1.56, 0.32, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
30,  0,  0.000,  0.88,  1, 2.04, 0.60, 0.69, 0.47, 1.95, 1.73, 0.00, 2.29, 2.43, 1.14, 2.06, 2.09, 0.67, 0.60, 2.04, 1.35, 0.04, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
31,  0,  0.000,  0.98,  1, 2.98, 1.19, 0.62, 0.51, 1.30, 1.75, 0.00, 2.16, 1.83, 0.84, 2.06, 1.82, 0.67, 0.60, 2.19, 0.97, 0.31, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
32,  0,  0.000,  0.98,  1, 1.67, 1.12, 0.62, 0.51, 0.65, 0.70, 0.00, 1.54, 1.88, 1.09, 0.39, 0.90, 0.15, 0.60, 1.54, 0.66, 0.34, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
33,  0,  0.000,  0.98,  1, 1.67, 1.12, 0.30, 0.32, 0.96, 0.66, 0.00, 1.05, 2.22, 0.89, 0.04, 0.08, 0.01, 0.00, 1.71, 0.31, 0.34, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
34,  0,  0.000,  0.98,  1, 0.00, 0.00, 0.34, 0.00, 1.41, 1.19, 0.00, 1.42, 2.49, 0.79, 0.63, 0.38, 0.36, 0.00, 1.61, 0.49, 0.25, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
35,  0,  0.000,  0.98,  1, 0.00, 0.00, 0.73, 0.00, 2.73, 2.62, 0.40, 2.43, 3.12, 1.38, 0.67, 1.00, 0.43, 0.00, 2.05, 1.14, 0.18, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
36,  0,  0.000,  0.98,  1, 0.00, 0.00, 0.48, 0.00, 2.42, 2.72, 0.40, 2.38, 2.75, 1.48, 0.83, 1.03, 0.43, 0.48, 1.76, 1.13, 0.30, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
37,  0,  0.000,  0.98,  1, 0.00, 0.00, 0.44, 0.00, 2.65, 2.74, 0.41, 2.45, 3.01, 2.37, 0.40, 1.16, 0.38, 0.48, 1.40, 1.65, 0.12, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
38,  0,  0.000,  0.98,  1, 0.00, 0.00, 0.15, 0.00, 2.14, 2.27, 0.01, 1.49, 2.58, 2.09, 0.47, 0.71, 0.30, 0.67, 1.83, 1.35, 0.26, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00
39,  0,  0.000,  0.98,  1, 0.00, 0.00, 0.52, 0.24, 1.94, 2.36, 0.01, 2.02, 2.24, 1.58, 0.47, 1.20, 0.39, 0.60, 1.34, 2.02, 0.14, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
40,  0,  0.000,  0.88,  1, 0.00, 0.00, 0.75, 0.34, 1.88, 2.67, 0.39, 1.75, 1.84, 0.71, 0.31, 0.80, 0.09, 0.60, 1.29, 1.37, 0.14, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
41,  0,  0.000,  0.92,  1, 0.00, 0.00, 0.64, 0.34, 1.22, 2.73, 0.39, 2.19, 1.56, 0.40, 0.20, 0.91, 0.09, 0.41, 0.50, 1.11, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
42,  0,  0.000,  0.88,  1, 0.00, 0.00, 0.30, 0.10, 1.85, 2.59, 0.39, 2.12, 2.02, 0.72, 0.09, 0.62, 0.00, 0.00, 1.10, 0.16, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
43,  0,  0.000,  0.98,  1, 0.00, 0.00, 0.08, 0.00, 2.02, 2.78, 0.40, 2.64, 2.52, 1.42, 0.09, 0.68, 0.00, 0.00, 1.00, 0.10, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00
44,  0,  0.000,  0.98,  1, 0.00, 0.00, 0.08, 0.00, 2.38, 2.10, 0.41, 2.19, 2.95, 1.36, 0.09, 0.41, 0.06, 0.28, 0.74, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00
45,  0,  0.000,  0.92,  1, 0.41, 0.00, 0.75, 0.08, 2.14, 2.29, 0.41, 1.87, 2.74, 1.59, 0.00, 0.48, 0.34, 0.28, 0.66, 1.13, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
46,  0,  0.000,  0.92,  1, 0.41, 0.00, 0.74, 0.08, 2.22, 1.61, 0.19, 1.66, 2.47, 1.40, 0.49, 0.64, 0.34, 0.28, 0.89, 1.13, 0.37, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
47,  0,  0.000,  0.98,  1, 0.41, 0.00, 0.90, 0.08, 2.63, 2.00, 0.22, 2.36, 2.73, 1.91, 0.49, 0.64, 0.29, 0.00, 1.78, 1.26, 0.37, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
48,  0,  0.000,  0.98,  1, 0.00, 0.00, 0.16, 0.00, 2.12, 1.21, 0.22, 1.95, 2.71, 1.75, 0.49, 0.33, 0.00, 0.05, 1.26, 0.13, 0.37, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
49,  0,  0.000,  0.98,  1, 0.23, 0.19, 0.16, 0.00, 1.96, 1.59, 0.05, 2.07, 2.82, 1.68, 0.12, 1.31, 0.25, 0.43, 0.89, 0.44, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
50,  0,  0.000,  0.88,  1, 0.28, 0.19, 0.07, 0.00, 2.08, 1.98, 0.00, 1.60, 2.48, 1.40, 0.15, 1.43, 0.25, 0.55, 1.10, 0.83, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
51,  0,  0.000,  0.98,  1, 0.28, 0.19, 0.07, 0.26, 2.91, 2.36, 0.00, 1.87, 2.08, 1.61, 1.60, 2.92, 1.60, 1.64, 1.85, 1.11, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00
52,  0,  0.000,  0.98,  1, 0.05, 0.00, 0.59, 0.26, 2.78, 2.42, 0.00, 1.81, 1.27, 2.37, 2.81, 2.12, 1.35, 2.35, 1.85, 0.79, 1.40, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
53,  0,  0.000,  0.88,  1, 0.00, 0.00, 0.53, 0.26, 1.61, 1.27, 0.00, 1.28, 0.72, 2.29, 2.78, 1.99, 1.35, 2.22, 1.28, 1.18, 1.44, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00
54,  0,  0.000,  0.92,  1, 0.00, 0.00, 0.53, 0.00, 0.98, 1.01, 0.00, 1.32, 1.07, 1.98, 1.33, 0.74, 0.00, 1.48, 0.54, 1.21, 1.44, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
55,  0,  0.000,  0.98,  1, 0.37, 0.00, 0.30, 0.00, 0.79, 0.23, 0.00, 1.20, 1.52, 1.18, 0.80, 0.39, 0.00, 0.91, 0.54, 1.21, 0.33, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
56,  0,  0.000,  0.85,  1, 0.37, 0.00, 0.30, 0.00, 1.78, 1.46, 0.30, 2.45, 1.98, 0.93, 1.56, 1.15, 0.00, 0.91, 0.41, 0.31, 0.30, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
57,  0,  0.000,  0.98,  1, 0.49, 0.00, 0.86, 0.00, 1.94, 1.83, 0.41, 3.12, 2.09, 0.98, 1.70, 0.96, 0.00, 0.51, 1.47, 0.16, 1.02, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
58,  0,  0.000,  0.98,  1, 1.20, 0.23, 0.88, 0.08, 2.15, 1.75, 0.41, 3.31, 2.31, 0.57, 2.30, 2.48, 0.54, 0.00, 2.07, 0.32, 0.72, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
59,  0,  0.000,  0.85,  1, 1.21, 0.44, 1.45, 0.13, 1.88, 1.02, 0.22, 3.18, 2.50, 1.25, 1.54, 2.79, 0.54, 0.00, 2.29, 0.32, 0.72, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
60,  0,  0.000,  0.98,  1, 1.09, 0.44, 1.33, 0.27, 1.72, 1.52, 0.61, 3.17, 1.89, 1.44, 1.46, 3.35, 1.08, 0.33, 1.53, 0.73, 0.45, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
61,  0,  0.000,  0.98,  1, 0.01, 0.20, 1.09, 0.19, 1.80, 2.19, 0.65, 2.73, 2.37, 1.75, 0.06, 2.07, 0.54, 0.55, 1.58, 0.63, 0.45, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
62,  0,  0.000,  0.98,  1, 0.00, 0.00, 0.78, 0.14, 2.14, 2.13, 0.54, 2.64, 2.58, 1.77, 0.06, 1.11, 0.54, 0.60, 2.23, 0.91, 0.45, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
63,  0,  0.000,  0.98,  1, 0.00, 0.00, 0.70, 0.00, 2.83, 1.69, 0.04, 2.24, 3.48, 1.39, 0.00, 0.58, 0.00, 0.32, 2.59, 0.38, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
64,  0,  0.000,  0.98,  1, 0.36, 0.00, 1.00, 0.00, 2.58, 2.13, 0.72, 2.13, 2.50, 1.09, 0.23, 0.26, 0.00, 0.09, 1.94, 0.44, 0.11, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
65,  0,  0.000,  0.98,  1, 0.41, 0.00, 0.81, 0.00, 1.92, 2.21, 0.72, 1.50, 1.99, 0.62, 0.23, 0.57, 0.00, 0.23, 1.11, 0.60, 0.31, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
66,  0,  0.000,  0.98,  1, 1.03, 0.12, 0.65, 0.00, 0.95, 2.08, 0.72, 0.70, 1.61, 0.79, 0.23, 0.48, 0.16, 0.19, 0.63, 0.95, 0.44, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
67,  0,  0.000,  0.98,  1, 0.67, 0.12, 0.30, 0.00, 1.32, 1.10, 0.53, 1.18, 2.17, 1.36, 0.00, 0.80, 0.16, 0.19, 0.91, 0.91, 0.35, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00
68,  0,  0.000,  0.98,  1, 0.77, 0.12, 0.43, 0.00, 1.46, 0.67, 0.88, 1.62, 1.46, 1.97, 1.67, 0.95, 0.16, 1.14, 0.46, 0.46, 0.25, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
69,  0,  0.000,  0.98,  1, 0.38, 0.00, 0.23, 0.39, 1.36, 0.22, 0.88, 1.62, 1.03, 1.79, 1.67, 1.19, 0.00, 1.14, 0.28, 0.18, 0.25, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
70,  0,  0.000,  0.98,  1, 1.06, 0.00, 0.22, 0.39, 1.34, 1.34, 0.59, 1.90, 0.79, 1.28, 1.99, 1.65, 0.17, 1.14, 0.70, 0.22, 0.59, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
